bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count
Brooklyn,Williamsburg,40.70822,-73.94825,Entire home/apt,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.68001,-73.94971,Entire home/apt,30,11,0.29,3
Brooklyn,Bedford-Stuyvesant,40.68076,-73.95667,Private room,3,1,0.5,4
Brooklyn,Bushwick,40.69972,-73.92362,Private room,3,0,0.0,1
Manhattan,Murray Hill,40.74899,-73.97301,Private room,1,1,0.02,1
Manhattan,Midtown,40.76084,-73.96908,Entire home/apt,15,6,0.58,2
Brooklyn,Greenpoint,40.72767,-73.95084,Private room,5,19,1.26,1
Manhattan,Hell's Kitchen,40.76128,-73.99617,Entire home/apt,2,39,0.86,1
Brooklyn,Williamsburg,40.7049,-73.92966,Private room,1,2,0.06,1
Brooklyn,Greenpoint,40.72537,-73.94076,Entire home/apt,30,0,0.0,52
Brooklyn,Kensington,40.64687,-73.98182,Entire home/apt,7,6,0.11,1
Brooklyn,Downtown Brooklyn,40.6978,-73.98396,Private room,1,0,0.0,1
Manhattan,Upper East Side,40.77242,-73.96212,Entire home/apt,7,3,0.06,1
Staten Island,Howland Hook,40.63014,-74.17459,Entire home/apt,4,20,0.57,1
Manhattan,Financial District,40.70538,-74.00664,Entire home/apt,30,3,0.08,96
Queens,Long Island City,40.75472,-73.91891,Entire home/apt,2,27,2.74,1
Brooklyn,Bedford-Stuyvesant,40.69102,-73.95132,Private room,3,3,0.16,3
Brooklyn,Williamsburg,40.70739,-73.94726,Private room,6,3,0.14,2
Queens,Sunnyside,40.74962,-73.91664,Entire home/apt,2,111,3.19,1
Manhattan,Midtown,40.74484,-73.98355,Entire home/apt,20,0,0.0,2
Manhattan,East Village,40.72821,-73.98633,Private room,30,0,0.0,8
Brooklyn,East Flatbush,40.65056,-73.94994,Entire home/apt,2,14,1.03,2
Manhattan,East Harlem,40.79534,-73.94526,Entire home/apt,1,73,2.37,1
Manhattan,East Harlem,40.78918,-73.94834,Entire home/apt,30,1,0.2,2
Manhattan,Lower East Side,40.72088,-73.99312,Private room,30,0,0.0,4
Manhattan,Upper West Side,40.7828,-73.98348,Entire home/apt,30,0,0.0,8
Manhattan,East Village,40.72498,-73.97604,Private room,1,6,1.49,1
Brooklyn,Williamsburg,40.71596,-73.96215,Private room,2,106,2.29,8
Manhattan,Upper West Side,40.7787,-73.98407,Entire home/apt,3,2,0.05,1
Manhattan,East Village,40.72394,-73.98941,Entire home/apt,4,43,0.68,1
Brooklyn,Fort Greene,40.69283,-73.98061,Private room,2,6,0.14,1
Brooklyn,Bedford-Stuyvesant,40.67913,-73.90665,Private room,1,33,2.04,6
Brooklyn,Prospect-Lefferts Gardens,40.65732,-73.95991,Private room,2,67,1.56,3
Manhattan,Harlem,40.80007,-73.9562,Entire home/apt,7,6,0.16,1
Brooklyn,Williamsburg,40.71886,-73.94054,Entire home/apt,2,19,1.52,2
Manhattan,Harlem,40.81493,-73.93953,Entire home/apt,5,1,0.11,1
Manhattan,Chinatown,40.71387,-73.99427,Entire home/apt,5,0,0.0,1
Brooklyn,East Flatbush,40.66314,-73.93299,Private room,1,8,0.61,6
Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.95043,Private room,1,1,0.02,1
Manhattan,Gramercy,40.73711,-73.98573,Entire home/apt,5,7,0.2,1
